Age,"Height, cm",Weight,Place of birth,Gold,Silver,Bronze,Total,Sport,Sex_F,Sex_M
48,168.0,68.0,11,0,0,0,0,13,0,1
24,169.0,58.0,184,0,0,0,0,12,1,0
21,168.0,70.0,159,0,0,0,0,9,1,0
23,196.0,88.0,186,1,0,0,1,6,0,1
21,178.0,80.0,90,0,0,0,0,2,0,1
24,202.0,105.0,159,0,0,0,0,6,0,1
24,179.0,74.0,66,0,0,0,0,6,0,1
22,183.0,83.0,66,0,0,0,0,16,0,1
39,170.0,75.0,189,0,0,0,0,20,1,0
20,195.0,115.0,121,0,0,0,0,2,0,1
20,173.0,64.0,97,0,0,0,0,6,1,0
22,172.0,78.0,144,0,0,0,0,1,1,0
26,176.0,73.0,144,0,0,0,0,2,0,1
27,190.0,84.0,66,0,0,0,0,6,0,1
23,193.0,83.0,94,0,0,0,0,6,0,1
28,182.0,68.0,62,0,0,0,0,8,0,1
27,167.0,66.0,62,0,0,0,0,1,0,1
31,175.0,61.0,186,0,0,0,0,13,0,1
21,172.0,74.0,68,0,0,0,0,4,0,1
22,178.0,57.0,59,0,0,0,0,2,0,1
22,169.0,59.0,7,0,0,0,0,10,1,0
29,168.0,73.0,157,0,0,0,0,2,0,1
49,174.0,69.0,62,0,0,0,0,13,0,1
22,194.0,80.0,32,0,0,0,0,2,0,1
39,183.0,70.0,76,0,0,0,0,7,0,1
31,167.0,58.0,84,0,0,0,0,2,1,0
29,155.0,44.0,186,0,0,0,0,2,1,0
21,189.0,85.0,18,0,0,0,0,6,0,1
18,166.0,57.0,32,0,0,0,0,12,1,0
19,194.0,83.0,129,0,0,0,0,6,0,1
26,185.0,82.0,151,0,0,0,0,14,0,1
27,180.0,74.0,184,0,0,0,0,15,0,1
21,191.0,75.0,135,0,0,0,0,6,0,1
21,173.0,75.0,39,0,0,0,0,6,0,1
21,172.0,70.0,66,0,0,0,0,19,1,0
18,182.0,75.0,112,0,0,0,0,20,0,1
20,171.0,65.0,11,0,0,0,0,20,1,0
25,185.0,86.0,104,0,0,0,0,2,0,1
21,153.0,48.0,66,0,0,0,0,1,1,0
20,178.0,64.0,151,0,0,1,1,6,1,0
26,183.0,105.0,187,0,0,0,0,17,0,1
21,184.0,72.0,119,0,0,0,0,2,0,1
38,170.0,63.0,70,0,0,0,0,13,0,1
22,178.0,70.0,186,0,0,0,0,14,0,1
31,183.0,78.0,12,0,0,0,0,15,0,1
24,180.0,83.0,151,0,0,0,0,9,0,1
25,187.0,75.0,93,0,0,0,0,2,0,1
25,172.0,64.0,111,0,0,0,0,6,1,0
28,199.0,125.0,54,0,0,0,0,2,0,1
20,186.0,66.0,111,0,0,0,0,2,0,1
27,170.0,65.0,125,0,0,0,0,2,0,1
23,194.0,96.0,54,0,0,0,0,2,0,1
30,190.0,105.0,54,0,0,0,0,1,0,1
34,173.0,59.0,102,0,0,0,0,2,0,1
35,178.0,70.0,54,0,0,0,0,13,0,1
23,183.0,74.0,184,0,0,0,0,2,0,1
29,168.0,64.0,26,0,0,0,0,27,1,0
18,180.0,89.0,60,0,0,0,0,6,0,1
19,162.0,56.0,148,0,0,0,0,12,1,0
33,170.0,66.0,54,0,0,0,0,4,0,1
49,171.0,69.0,54,0,0,0,0,9,1,0
33,165.0,66.0,116,0,0,0,0,11,1,0
24,171.0,64.0,164,0,0,0,0,6,0,1
30,191.0,82.0,186,0,0,0,0,9,0,1
26,179.0,81.0,66,0,0,0,0,2,0,1
23,166.0,64.0,135,0,0,0,0,20,1,0
33,181.0,72.0,165,0,0,0,0,15,0,1
28,175.0,73.0,129,0,0,0,0,1,0,1
30,175.0,81.0,129,0,0,0,0,1,0,1
18,179.0,73.0,11,1,1,0,2,6,1,0
20,180.0,82.0,53,0,0,0,0,6,0,1
21,177.0,71.0,53,0,0,0,0,6,0,1
25,165.0,75.0,70,0,0,1,1,20,0,1
29,160.0,55.0,70,0,0,0,0,4,1,0
30,172.0,70.0,129,0,0,0,0,10,1,0
24,175.0,65.0,133,0,0,0,0,7,1,0
31,173.0,63.0,70,0,0,0,0,2,1,0
25,177.0,54.0,66,0,0,0,0,2,1,0
29,162.0,68.0,70,0,0,0,0,9,1,0
24,158.0,60.0,70,0,0,0,0,1,0,1
25,165.0,72.0,91,0,0,0,0,6,0,1
26,165.0,57.0,66,0,0,0,0,2,1,0
31,191.0,77.0,186,0,0,0,0,6,0,1
21,160.0,55.0,186,0,0,0,0,4,0,1
24,172.0,60.0,116,0,0,0,0,6,1,0
22,162.0,43.0,59,0,0,0,0,2,1,0
24,163.0,60.0,95,0,0,0,0,4,1,0
25,176.0,75.0,135,0,0,0,0,10,1,0
23,173.0,62.0,168,0,0,0,0,5,0,1
23,168.0,60.0,83,0,0,0,0,4,0,1
33,173.0,54.0,57,0,0,0,0,2,0,1
26,189.0,86.0,57,0,0,0,0,3,0,1
39,161.0,48.0,57,0,0,0,0,2,1,0
28,182.0,79.0,84,0,0,0,0,11,0,1
27,178.0,84.0,52,0,0,0,0,4,0,1
26,156.0,48.0,116,0,1,0,1,5,1,0
20,166.0,55.0,11,0,0,0,0,22,1,0
26,166.0,69.0,89,0,0,0,0,11,0,1
34,186.0,76.0,62,1,0,0,1,14,0,1
22,170.0,56.0,57,0,0,0,0,3,1,0
19,183.0,83.0,150,0,0,0,0,20,0,1
49,180.0,77.0,165,0,0,0,0,13,0,1
37,191.0,80.0,151,0,0,0,0,16,1,0
22,180.0,61.0,116,0,0,0,0,2,0,1
28,185.0,71.0,122,0,0,0,0,2,0,1
21,176.0,62.0,62,0,0,1,1,6,1,0
19,150.0,52.0,131,0,0,0,0,2,1,0
27,192.0,118.0,168,0,0,0,0,4,0,1
21,175.0,65.0,11,0,1,0,1,6,1,0
35,174.0,68.0,11,0,0,0,0,15,0,1
20,194.0,70.0,52,0,0,0,0,16,1,0
23,163.0,49.0,62,0,0,0,0,9,1,0
24,167.0,75.0,151,0,0,0,0,17,1,0
28,174.0,62.0,111,0,0,0,0,2,0,1
20,202.0,96.0,151,0,0,0,0,6,0,1
26,180.0,84.0,83,0,0,0,0,4,0,1
22,165.0,53.0,151,0,0,0,0,22,1,0
25,169.0,60.0,24,0,0,0,0,2,1,0
32,175.0,80.0,54,0,0,0,0,12,0,1
20,170.0,48.0,151,0,0,0,0,2,1,0
22,167.0,52.0,114,0,0,0,0,2,1,0
24,170.0,69.0,12,0,0,0,0,2,1,0
22,194.0,104.0,179,0,0,0,0,16,0,1
29,157.0,48.0,66,0,0,0,0,15,1,0
33,180.0,70.0,62,0,0,0,0,11,0,1
26,165.0,63.0,186,0,0,0,0,14,0,1
24,175.0,74.0,70,0,0,0,0,2,0,1
27,168.0,73.0,186,0,0,0,0,2,0,1
25,160.0,48.0,81,0,0,1,1,1,1,0
27,190.0,88.0,72,0,0,0,0,3,0,1
18,175.0,82.0,10,0,0,0,0,2,0,1
34,176.0,98.0,89,0,0,0,0,9,0,1
24,186.0,75.0,89,0,0,0,0,8,0,1
30,184.0,100.0,62,0,0,0,0,1,0,1
18,158.0,40.0,164,0,0,0,0,6,1,0
26,170.0,60.0,168,0,0,0,0,6,1,0
23,176.0,64.0,168,0,0,0,0,15,1,0
25,173.0,66.0,1,0,0,0,0,1,0,1
26,160.0,117.0,80,0,0,0,0,9,1,0
23,166.0,55.0,111,0,0,0,0,4,0,1
23,186.0,120.0,144,0,0,0,0,2,0,1
44,168.0,64.0,89,0,0,0,0,9,0,1
23,168.0,61.0,186,0,0,0,0,10,1,0
18,160.0,46.0,125,0,0,0,0,2,1,0
26,188.0,76.0,154,0,0,0,0,6,0,1
26,172.0,60.0,53,0,0,0,0,18,0,1
29,168.0,70.0,62,0,0,0,0,2,1,0
27,187.0,80.0,24,0,0,0,0,13,0,1
14,162.0,50.0,155,0,0,0,0,6,1,0
23,173.0,69.0,37,0,0,0,0,6,1,0
26,183.0,67.0,46,0,0,0,0,11,0,1
29,165.0,58.0,161,0,0,0,0,2,0,1
30,168.0,66.0,89,0,0,0,0,1,0,1
20,164.0,64.0,62,0,0,0,0,5,1,0
27,170.0,59.0,81,0,0,0,0,2,1,0
24,165.0,66.0,187,0,0,0,0,1,0,1
45,183.0,83.0,12,0,0,0,0,9,0,1
30,187.0,98.0,135,0,0,0,0,2,0,1
28,183.0,77.0,186,0,0,0,0,15,0,1
21,183.0,71.0,186,0,0,1,1,6,1,0
25,170.0,66.0,149,0,0,0,0,1,0,1
42,167.0,64.0,129,0,0,0,0,13,1,0
39,191.0,109.0,186,0,0,0,0,11,0,1
35,180.0,83.0,66,0,0,0,0,9,0,1
19,165.0,55.0,66,0,0,0,0,6,1,0
29,183.0,63.0,50,0,0,0,0,2,0,1
25,177.0,73.0,154,0,0,0,0,6,1,0
32,173.0,64.0,81,0,0,0,0,19,1,0
44,175.0,70.0,22,0,0,0,0,9,0,1
22,183.0,79.0,70,0,0,0,0,5,0,1
31,168.0,58.0,144,0,0,0,0,2,0,1
23,175.0,60.0,151,0,0,0,0,2,1,0
25,164.0,57.0,184,0,0,0,0,5,1,0
31,168.0,68.0,184,0,0,0,0,4,0,1
33,204.0,90.0,89,0,0,0,0,16,0,1
22,196.0,98.0,186,0,1,0,1,6,0,1
39,177.0,60.0,145,0,0,0,0,2,0,1
21,175.0,61.0,83,0,0,0,0,2,1,0
25,192.0,90.0,70,0,0,0,0,6,0,1
30,189.0,77.0,193,0,0,0,0,8,0,1
26,168.0,55.0,186,0,0,0,0,2,1,0
29,165.0,52.0,145,0,0,0,0,2,1,0
24,184.0,62.0,73,0,0,0,0,2,0,1
25,170.0,73.0,129,0,0,0,0,2,0,1
52,183.0,77.0,186,0,0,0,0,13,0,1
31,189.0,86.0,89,0,0,0,0,3,0,1
31,171.0,67.0,49,0,0,0,0,11,1,0
32,160.0,49.0,151,0,0,0,0,2,1,0
29,172.0,63.0,62,1,0,0,1,14,1,0
32,176.0,80.0,11,0,0,0,0,9,0,1
36,165.0,63.0,14,0,0,0,0,2,1,0
33,167.0,52.0,26,0,0,0,0,15,1,0
31,166.0,52.0,26,0,0,0,0,15,1,0
29,180.0,106.0,57,0,0,0,0,9,0,1
44,173.0,80.0,116,0,0,0,0,13,0,1
35,170.0,54.0,165,0,0,0,0,2,1,0
35,181.0,81.0,57,0,0,0,0,11,0,1
24,182.0,73.0,11,0,0,0,0,22,0,1
26,180.0,65.0,89,0,0,0,0,6,1,0
20,165.0,53.0,62,0,0,0,0,25,1,0
24,183.0,76.0,89,0,0,0,0,14,0,1
46,176.0,60.0,57,0,0,0,0,13,1,0
24,190.0,72.0,53,0,0,0,0,2,0,1
24,182.0,62.0,137,0,0,0,0,2,1,0
24,189.0,123.0,188,0,0,0,0,1,0,1
19,183.0,91.0,186,0,0,0,0,18,0,1
33,176.0,70.0,62,0,0,0,0,2,0,1
33,183.0,90.0,66,0,0,0,0,3,0,1
28,192.0,98.0,26,0,0,0,0,3,0,1
28,163.0,51.0,42,0,0,0,0,2,1,0
27,170.0,66.0,56,0,0,0,0,1,0,1
33,172.0,55.0,3,0,0,0,0,2,0,1
28,174.0,58.0,72,0,0,0,0,2,1,0
23,193.0,78.0,70,0,0,0,0,6,0,1
25,152.0,52.0,32,0,0,1,1,5,1,0
25,193.0,91.0,162,0,0,0,0,3,0,1
33,182.0,72.0,162,0,0,0,0,2,0,1
33,182.0,73.0,162,0,0,0,0,2,0,1
25,186.0,63.0,89,0,0,0,0,6,1,0
25,190.0,78.0,72,0,0,0,0,2,0,1
20,192.0,80.0,93,0,0,0,0,2,0,1
28,167.0,48.0,184,0,0,0,0,2,1,0
23,173.0,63.0,167,0,0,0,0,6,1,0
18,167.0,55.0,110,0,0,0,0,6,1,0
32,173.0,57.0,12,0,0,0,0,1,1,0
26,186.0,81.0,81,0,0,0,0,6,0,1
23,170.0,55.0,32,0,0,0,0,8,1,0
23,163.0,62.0,135,0,0,0,0,10,1,0
23,169.0,90.0,144,0,0,0,0,2,1,0
18,178.0,72.0,139,0,0,0,0,6,0,1
28,191.0,86.0,46,0,0,0,0,3,0,1
29,178.0,68.0,151,0,0,0,0,2,1,0
22,192.0,95.0,70,0,0,0,0,2,1,0
24,174.0,63.0,93,0,0,0,0,2,1,0
20,180.0,67.0,11,0,0,0,0,10,1,0
31,165.0,48.0,186,0,0,0,0,2,1,0
19,185.0,70.0,84,0,0,0,0,11,0,1
18,179.0,69.0,50,0,0,0,0,11,0,1
29,188.0,77.0,66,0,1,0,1,14,0,1
30,170.0,60.0,189,0,0,0,0,11,0,1
27,170.0,59.0,42,0,0,0,0,2,1,0
30,180.0,64.0,89,0,0,0,0,2,0,1
22,168.0,60.0,135,0,0,0,0,10,1,0
43,178.0,74.0,26,0,0,0,0,13,0,1
29,156.0,63.0,135,0,0,0,0,10,1,0
26,174.0,90.0,70,0,0,1,1,23,0,1
29,189.0,135.0,145,0,0,0,0,2,0,1
27,172.0,62.0,11,0,0,0,0,6,1,0
28,165.0,50.0,32,0,0,0,0,13,1,0
37,165.0,62.0,90,0,0,0,0,2,1,0
33,183.0,84.0,135,0,0,0,0,19,0,1
31,170.0,64.0,186,0,0,0,0,2,1,0
24,187.0,86.0,72,0,0,0,0,3,0,1
25,196.0,98.0,150,0,0,0,0,2,0,1
25,155.0,59.0,32,0,0,0,0,19,1,0
18,166.0,60.0,62,0,1,0,1,14,1,0
43,198.0,76.0,66,0,1,0,1,13,0,1
23,183.0,77.0,32,0,0,0,0,6,0,1
21,170.0,49.0,74,0,0,0,0,2,1,0
30,172.0,57.0,138,0,0,0,0,2,1,0
24,168.0,57.0,186,0,0,0,0,2,1,0
22,195.0,88.0,11,0,0,0,0,12,0,1
32,182.0,78.0,70,0,0,0,0,10,1,0
17,185.0,75.0,186,2,0,1,3,6,1,0
32,173.0,55.0,57,0,0,0,0,9,1,0
25,169.0,72.0,168,0,0,0,0,4,1,0
22,188.0,84.0,33,0,0,0,0,6,0,1
24,186.0,86.0,33,0,0,0,0,6,0,1
21,172.0,73.0,14,0,0,0,0,2,0,1
20,194.0,85.0,11,0,0,0,0,6,0,1
25,152.0,57.0,90,0,0,0,0,2,1,0
26,178.0,72.0,89,0,0,0,0,3,1,0
29,175.0,75.0,90,0,0,0,0,2,0,1
33,173.0,66.0,186,0,0,0,0,4,0,1
22,188.0,79.0,11,0,0,0,0,2,0,1
44,185.0,87.0,11,0,0,0,0,13,0,1
22,178.0,68.0,150,0,0,0,0,2,0,1
46,180.0,62.0,113,0,0,0,0,13,1,0
31,171.0,54.0,50,0,0,0,0,8,1,0
44,180.0,78.0,168,0,0,0,0,13,0,1
24,196.0,92.0,70,0,0,0,0,2,0,1
22,187.0,82.0,145,0,0,0,0,11,0,1
24,181.0,75.0,145,0,0,0,0,12,0,1
22,172.0,58.0,26,0,0,0,0,11,1,0
22,191.0,86.0,66,0,0,0,0,16,0,1
28,179.0,57.0,70,0,0,0,0,2,1,0
24,183.0,74.0,50,0,0,0,0,6,1,0
28,168.0,50.0,49,0,0,0,0,8,1,0
27,183.0,110.0,32,0,0,0,0,2,1,0
30,194.0,75.0,70,0,0,0,0,8,0,1
37,184.0,80.0,168,0,0,0,0,6,0,1
20,190.0,84.0,184,0,0,0,0,6,0,1
27,185.0,71.0,94,0,0,1,1,15,0,1
24,200.0,100.0,49,0,0,0,0,2,0,1
34,166.0,58.0,37,0,0,0,0,10,1,0
16,177.0,63.0,37,0,0,0,0,6,1,0
22,182.0,100.0,11,0,0,0,0,2,0,1
25,161.0,50.0,92,0,0,0,0,2,1,0
27,182.0,69.0,165,0,0,0,0,15,0,1
27,184.0,77.0,92,0,0,0,0,6,0,1
30,174.0,66.0,92,0,0,0,0,4,0,1
31,157.0,51.0,92,0,0,0,0,10,1,0
24,164.0,56.0,92,0,0,0,0,2,0,1
30,167.0,54.0,92,0,0,0,0,2,0,1
30,170.0,58.0,186,0,0,0,0,11,1,0
29,176.0,75.0,26,0,0,0,0,9,0,1
22,172.0,59.0,66,0,0,0,0,6,1,0
30,167.0,60.0,57,0,0,0,0,6,0,1
39,171.0,72.0,62,0,0,0,0,9,0,1
32,187.0,105.0,39,0,0,0,0,17,0,1
28,202.0,96.0,70,0,0,0,0,2,0,1
31,186.0,66.0,70,0,0,0,0,2,0,1
16,170.0,45.0,51,0,0,0,0,2,1,0
17,157.0,52.0,142,0,0,0,0,2,1,0
23,176.0,70.0,168,0,0,0,0,11,1,0
26,185.0,82.0,46,0,0,0,0,12,0,1
28,178.0,96.0,68,0,0,0,0,4,0,1
23,178.0,84.0,151,0,0,0,0,4,0,1
34,184.0,73.0,81,0,0,0,0,11,0,1
29,185.0,75.0,71,0,0,0,0,2,0,1
26,176.0,84.0,151,0,0,0,0,4,0,1
42,185.0,70.0,129,0,0,0,0,13,0,1
34,174.0,53.0,151,0,0,0,0,2,1,0
39,165.0,57.0,151,0,0,0,0,9,1,0
25,168.0,61.0,186,0,0,0,0,2,1,0
27,166.0,60.0,66,0,0,0,0,5,1,0
28,175.0,95.0,36,0,0,0,0,2,1,0
27,193.0,93.0,89,0,0,0,0,3,0,1
24,179.0,72.0,62,0,0,0,0,15,0,1
27,179.0,70.0,151,0,0,0,0,5,0,1
23,170.0,60.0,0,1,0,0,1,1,0,1
25,165.0,60.0,57,0,0,0,0,9,1,0
24,177.0,66.0,184,0,0,0,0,20,1,0
29,165.0,52.0,184,0,0,0,0,2,1,0
31,202.0,80.0,151,0,0,0,0,16,1,0
23,164.0,55.0,11,0,0,0,0,6,1,0
20,169.0,62.0,66,0,0,0,0,6,1,0
22,181.0,67.0,81,0,0,0,0,3,1,0
20,165.0,54.0,117,0,0,0,0,6,1,0
25,179.0,73.0,37,0,0,0,0,6,1,0
32,165.0,57.0,37,0,0,0,0,10,1,0
25,170.0,68.0,189,0,0,0,0,21,1,0
24,165.0,63.0,53,0,0,0,0,1,1,0
42,172.0,64.0,57,0,0,0,0,2,0,1
34,177.0,59.0,74,0,0,0,0,2,0,1
24,155.0,52.0,52,0,0,0,0,1,1,0
31,167.0,52.0,189,0,0,0,0,2,1,0
27,173.0,57.0,57,0,0,0,0,2,0,1
28,198.0,92.0,57,0,0,0,0,3,0,1
29,163.0,54.0,56,0,0,0,0,15,1,0
18,165.0,55.0,116,0,1,0,1,5,0,1
30,161.0,60.0,42,0,0,0,0,20,1,0
29,190.0,91.0,57,0,0,0,0,3,0,1
18,168.0,57.0,57,0,0,0,0,6,1,0
22,172.0,60.0,168,0,0,0,0,6,1,0
33,178.0,69.0,12,0,0,0,0,12,0,1
30,180.0,62.0,59,0,0,0,0,2,0,1
30,180.0,73.0,62,0,0,0,0,11,0,1
38,174.0,69.0,36,0,0,0,0,15,0,1
25,175.0,73.0,186,0,0,0,0,2,0,1
21,188.0,100.0,13,0,0,0,0,1,0,1
21,183.0,73.0,186,0,0,0,0,6,0,1
35,179.0,66.0,135,0,0,0,0,8,0,1
25,181.0,69.0,89,0,0,0,0,6,1,0
26,178.0,61.0,32,0,0,0,0,2,0,1
34,162.0,52.0,89,0,0,0,0,2,1,0
30,175.0,74.0,186,0,0,0,0,4,0,1
26,156.0,54.0,150,0,0,0,0,10,1,0
24,178.0,65.0,32,0,0,0,0,2,1,0
29,193.0,93.0,149,0,0,0,0,3,0,1
24,184.0,90.0,151,0,0,0,0,1,0,1
23,171.0,67.0,81,0,0,0,0,6,0,1
19,164.0,58.0,18,0,0,0,0,10,1,0
25,196.0,96.0,149,0,0,0,0,3,0,1
23,182.0,69.0,18,0,0,0,0,2,0,1
28,174.0,49.0,179,0,0,0,0,2,1,0
29,184.0,90.0,89,0,0,0,0,3,0,1
20,163.0,55.0,89,0,0,0,0,14,1,0
32,185.0,72.0,66,0,0,0,0,6,0,1
22,175.0,60.0,72,0,0,0,0,6,1,0
26,178.0,84.0,66,0,0,0,0,6,0,1
27,190.0,76.0,89,0,0,0,0,3,1,0
28,177.0,62.0,12,0,0,0,0,8,0,1
35,165.0,60.0,189,0,0,0,0,15,0,1
30,183.0,70.0,18,0,0,0,0,15,0,1
32,172.0,58.0,32,0,0,0,0,2,0,1
24,175.0,58.0,11,0,0,0,0,15,1,0
28,193.0,85.0,62,1,0,0,1,6,0,1
34,185.0,70.0,89,0,0,0,0,16,1,0
32,187.0,82.0,72,0,0,0,0,12,0,1
38,170.0,74.0,89,0,0,0,0,9,0,1
24,187.0,78.0,81,0,0,0,0,3,0,1
22,162.0,52.0,89,0,0,0,0,2,1,0
28,183.0,80.0,89,0,0,0,0,16,0,1
34,178.0,64.0,32,0,0,0,0,11,1,0
25,180.0,77.0,16,0,0,0,0,2,0,1
25,185.0,82.0,89,0,0,0,0,3,0,1
19,198.0,87.0,29,0,0,0,0,6,0,1
31,162.0,57.0,150,0,0,0,0,5,1,0
23,191.0,83.0,50,0,0,0,0,6,0,1
20,167.0,58.0,70,0,0,0,0,20,1,0
19,190.0,86.0,11,0,0,0,0,20,0,1
29,186.0,95.0,144,0,0,0,0,2,1,0
23,192.0,88.0,70,0,0,0,0,6,0,1
31,184.0,82.0,46,0,0,0,0,9,0,1
16,175.0,54.0,184,0,0,0,0,6,1,0
23,185.0,84.0,32,0,0,0,0,2,1,0
23,174.0,78.0,135,0,0,0,0,10,1,0
26,167.0,60.0,19,0,0,0,0,1,0,1
21,163.0,52.0,38,0,0,1,1,1,1,0
19,167.0,65.0,151,0,0,0,0,20,1,0
25,202.0,113.0,149,0,0,0,0,3,0,1
25,156.0,53.0,62,0,1,0,1,9,1,0
29,192.0,107.0,162,0,0,0,0,3,0,1
29,183.0,82.0,155,0,0,0,0,6,0,1
26,165.0,60.0,80,0,0,0,0,1,0,1
28,188.0,88.0,11,0,0,0,0,9,0,1
22,170.0,66.0,151,0,0,0,0,4,0,1
20,166.0,58.0,151,0,0,0,0,2,1,0
32,185.0,96.0,68,0,0,0,0,4,0,1
31,188.0,92.0,121,0,0,0,0,3,0,1
28,180.0,65.0,144,0,0,0,0,15,0,1
28,186.0,95.0,50,0,1,0,1,9,0,1
25,170.0,50.0,151,0,0,0,0,2,1,0
27,168.0,68.0,70,0,0,0,0,11,1,0
24,172.0,60.0,116,0,0,0,0,2,0,1
29,178.0,69.0,165,0,0,0,0,8,0,1
17,169.0,61.0,57,0,0,0,0,6,1,0
25,170.0,66.0,52,0,0,0,0,4,0,1
27,184.0,77.0,189,0,0,0,0,6,0,1
31,165.0,65.0,145,0,0,0,0,11,1,0
23,194.0,75.0,151,0,0,0,0,16,1,0
38,186.0,85.0,167,0,0,0,0,9,0,1
20,158.0,48.0,81,0,0,0,0,5,1,0
25,165.0,65.0,37,0,1,0,1,20,1,0
29,185.0,88.0,37,0,0,0,0,11,0,1
23,175.0,108.0,37,0,0,0,0,2,1,0
27,191.0,87.0,90,0,0,0,0,2,0,1
31,184.0,83.0,7,0,0,0,0,16,0,1
31,158.0,60.0,189,0,0,0,0,21,1,0
23,163.0,59.0,186,0,0,0,0,10,1,0
29,175.0,58.0,42,0,0,0,0,2,1,0
24,180.0,72.0,36,0,0,0,0,11,0,1
22,175.0,60.0,116,0,0,0,0,6,1,0
34,180.0,82.0,66,0,0,0,0,11,0,1
21,178.0,82.0,186,0,0,0,0,2,0,1
25,185.0,55.0,151,0,0,0,0,2,1,0
20,188.0,81.0,178,0,0,0,0,2,0,1
23,179.0,83.0,178,0,0,0,0,2,0,1
35,187.0,90.0,66,0,0,0,0,1,0,1
21,178.0,69.0,89,0,0,0,0,3,1,0
26,180.0,67.0,11,0,0,0,0,6,1,0
36,192.0,105.0,93,0,0,0,0,3,0,1
24,180.0,72.0,46,0,0,0,0,9,0,1
21,170.0,66.0,184,0,0,0,0,5,0,1
20,174.0,59.0,144,0,0,0,0,2,1,0
25,179.0,73.0,11,0,0,0,0,15,0,1
23,183.0,78.0,32,0,0,0,0,6,0,1
34,170.0,56.0,186,0,0,0,0,2,1,0
24,179.0,74.0,83,0,0,0,0,4,0,1
24,185.0,75.0,135,0,0,0,0,20,0,1
32,175.0,61.0,186,0,0,0,0,7,1,0
30,175.0,60.0,132,0,0,0,0,1,0,1
15,170.0,55.0,159,0,0,0,0,6,1,0
20,190.0,90.0,184,0,0,0,0,6,0,1
24,191.0,80.0,66,0,0,0,0,2,0,1
37,179.0,79.0,70,0,0,0,0,15,0,1
24,178.0,55.0,101,0,0,0,0,2,1,0
31,168.0,65.0,62,0,0,0,0,9,0,1
32,173.0,84.0,186,0,0,0,0,4,0,1
25,166.0,60.0,116,0,0,0,0,8,0,1
41,171.0,65.0,50,0,0,0,0,11,1,0
23,186.0,82.0,18,0,0,0,0,6,0,1
20,172.0,60.0,62,0,0,0,0,6,1,0
27,195.0,98.0,151,0,0,0,0,16,0,1
20,178.0,73.0,168,0,0,0,0,6,1,0
27,207.0,98.0,11,0,0,0,0,16,0,1
40,176.0,98.0,149,0,0,0,0,2,1,0
28,157.0,54.0,186,0,0,0,0,9,1,0
26,170.0,62.0,90,0,0,0,0,2,1,0
24,198.0,94.0,151,0,0,1,1,6,0,1
28,168.0,50.0,151,0,0,0,0,2,1,0
22,181.0,94.0,150,0,0,0,0,17,0,1
20,194.0,80.0,66,0,0,0,0,2,0,1
25,191.0,91.0,90,0,0,0,0,2,0,1
27,180.0,63.0,168,0,0,0,0,2,1,0
26,185.0,78.0,66,0,0,0,0,2,0,1
22,184.0,73.0,11,0,0,0,0,2,0,1
30,184.0,82.0,70,0,0,0,0,15,0,1
29,167.0,57.0,151,0,0,0,0,22,1,0
27,203.0,104.0,186,1,1,0,2,6,0,1
19,177.0,66.0,36,0,0,0,0,11,0,1
30,185.0,71.0,84,0,0,0,0,2,0,1
40,172.0,68.0,11,0,0,0,0,13,0,1
26,196.0,76.0,72,0,0,0,0,6,0,1
22,169.0,62.0,101,0,0,0,0,4,1,0
23,172.0,65.0,89,0,0,0,0,6,1,0
36,182.0,84.0,50,0,0,0,0,9,0,1
25,167.0,63.0,108,0,0,0,0,2,1,0
27,181.0,62.0,101,0,0,0,0,2,1,0
28,180.0,73.0,184,0,0,0,0,15,0,1
25,167.0,62.0,129,0,0,0,0,11,1,0
30,170.0,60.0,186,0,0,0,0,8,1,0
27,190.0,100.0,129,0,0,1,1,1,0,1
24,170.0,62.0,151,0,0,0,0,6,1,0
33,183.0,93.0,95,0,0,0,0,3,0,1
27,160.0,52.0,89,0,0,0,0,15,1,0
46,178.0,80.0,108,0,0,0,0,9,1,0
29,160.0,60.0,189,0,0,0,0,1,0,1
16,170.0,55.0,39,0,0,0,0,6,1,0
22,166.0,52.0,62,0,0,0,0,2,1,0
30,182.0,68.0,165,0,0,0,0,13,0,1
24,170.0,58.0,132,0,0,0,0,2,0,1
27,185.0,75.0,154,0,0,0,0,19,0,1
35,165.0,60.0,114,0,0,0,0,4,0,1
28,176.0,81.0,26,0,0,0,0,1,0,1
40,182.0,75.0,62,0,0,0,0,13,0,1
20,172.0,60.0,62,0,0,0,0,2,1,0
29,181.0,75.0,180,0,0,0,0,16,1,0
23,168.0,58.0,180,0,0,0,0,6,1,0
31,178.0,67.0,129,0,0,0,0,15,1,0
23,162.0,62.0,135,0,0,0,0,10,1,0
21,163.0,53.0,70,0,0,0,0,2,1,0
18,160.0,50.0,80,0,0,0,0,6,0,1
20,173.0,59.0,89,0,0,0,0,6,1,0
22,164.0,63.0,39,0,0,0,0,1,1,0
23,182.0,78.0,50,0,0,0,0,6,0,1
30,175.0,73.0,11,0,0,0,0,3,1,0
26,184.0,75.0,29,0,0,0,0,15,0,1
23,185.0,77.0,81,1,0,0,1,6,0,1
20,174.0,68.0,81,0,0,0,0,6,0,1
28,170.0,74.0,81,0,0,0,0,4,0,1
24,171.0,62.0,184,0,0,0,0,6,1,0
20,194.0,83.0,135,0,0,0,0,6,0,1
27,183.0,60.0,59,0,0,0,0,2,0,1
22,164.0,53.0,11,0,0,0,0,2,1,0
