Age,"Height, cm",Weight,Place of birth,Gold,Silver,Bronze,Total,Sport,Sex_F,Sex_M
21,164.0,62.0,101,0,0,0,0,18,1,0
24,186.0,75.0,151,0,0,0,0,2,0,1
26,197.0,100.0,162,0,0,0,0,3,0,1
29,200.0,96.0,29,0,0,0,0,16,0,1
25,175.0,75.0,189,0,0,0,0,6,0,1
30,171.0,60.0,178,0,0,0,0,2,1,0
26,178.0,65.0,190,0,0,0,0,2,1,0
34,185.0,85.0,93,0,0,0,0,19,0,1
22,191.0,96.0,149,0,0,0,0,4,0,1
20,185.0,80.0,56,0,0,0,0,6,0,1
17,170.0,72.0,186,0,0,0,0,6,1,0
40,158.0,53.0,168,0,0,0,0,13,1,0
37,162.0,55.0,168,0,1,0,1,13,1,0
25,174.0,85.0,99,0,0,0,0,12,0,1
27,176.0,72.0,39,0,0,0,0,4,1,0
23,167.0,61.0,94,0,0,0,0,2,0,1
27,190.0,83.0,110,0,0,0,0,2,0,1
15,165.0,60.0,27,0,0,0,0,6,0,1
36,175.0,85.0,151,0,0,0,0,9,0,1
26,175.0,74.0,13,0,0,0,0,4,0,1
22,170.0,60.0,13,0,0,0,0,4,0,1
27,179.0,68.0,58,0,0,0,0,6,1,0
29,165.0,55.0,140,0,0,0,0,6,1,0
40,169.0,67.0,151,0,0,0,0,9,1,0
20,170.0,65.0,66,0,0,0,0,6,1,0
23,180.0,73.0,178,0,0,0,0,2,0,1
25,183.0,73.0,16,0,0,0,0,6,0,1
27,169.0,55.0,53,0,0,0,0,2,0,1
23,182.0,87.0,145,0,0,0,0,6,0,1
24,185.0,88.0,145,0,0,0,0,2,0,1
27,174.0,74.0,26,0,0,0,0,6,0,1
23,176.0,72.0,170,0,0,0,0,2,1,0
25,171.0,79.0,131,0,0,0,0,2,0,1
48,180.0,95.0,99,0,0,0,0,9,0,1
19,176.0,70.0,99,0,0,0,0,9,0,1
34,180.0,65.0,168,0,0,0,0,6,1,0
26,174.0,70.0,42,0,0,1,1,1,1,0
31,182.0,66.0,57,0,0,0,0,2,0,1
25,181.0,72.0,45,0,0,0,0,15,0,1
18,175.0,58.0,59,0,0,0,0,2,0,1
18,174.0,61.0,187,0,0,0,0,6,1,0
28,162.0,57.0,42,0,0,0,0,1,1,0
24,198.0,54.0,131,0,0,0,0,2,1,0
22,177.0,86.0,168,0,0,0,0,2,0,1
32,177.0,75.0,12,0,0,0,0,13,0,1
19,160.0,55.0,54,0,0,0,0,9,1,0
32,168.0,54.0,14,0,0,0,0,2,1,0
23,169.0,53.0,24,0,0,0,0,15,1,0
18,179.0,60.0,25,0,0,0,0,2,0,1
23,161.0,55.0,179,0,0,0,0,4,1,0
32,160.0,52.0,146,1,0,0,1,1,1,0
28,177.0,66.0,62,0,0,0,0,2,1,0
27,187.0,100.0,92,0,0,0,0,1,0,1
26,176.0,65.0,24,0,0,0,0,2,0,1
22,187.0,68.0,151,0,0,0,0,6,0,1
27,169.0,75.0,50,0,0,0,0,9,1,0
21,173.0,64.0,186,1,0,0,1,6,1,0
20,178.0,68.0,186,0,0,0,0,6,1,0
25,208.0,93.0,186,0,0,0,0,16,0,1
31,170.0,55.0,94,0,0,0,0,2,1,0
34,171.0,63.0,29,0,0,0,0,15,0,1
32,172.0,77.0,26,0,0,0,0,11,0,1
28,165.0,55.0,189,0,0,0,0,4,1,0
31,200.0,97.0,70,0,0,0,0,16,0,1
